,Date,polarityavg,subjectivityavg
0,2010-01-06,0.16231188118811876,0.16231188118811876
1,2010-01-07,0.11890717299578059,0.11890717299578059
2,2010-01-08,0.14146521739130433,0.14146521739130433
3,2010-01-11,0.08131578947368422,0.08131578947368422
4,2010-01-12,0.12170258620689654,0.12170258620689654
5,2010-01-13,0.12893536121673,0.12893536121673
6,2010-01-14,0.12083076923076921,0.12083076923076921
7,2010-01-15,0.10543925233644859,0.10543925233644859
8,2010-01-19,0.10273061224489796,0.10273061224489796
9,2010-01-20,0.08908429118773943,0.08908429118773943
10,2010-01-21,0.12559022556390975,0.12559022556390975
11,2010-01-22,0.11547926267281107,0.11547926267281107
12,2010-01-25,0.11888059701492537,0.11888059701492537
13,2010-01-26,0.1381205357142857,0.1381205357142857
14,2010-01-27,0.13901886792452825,0.13901886792452825
15,2010-01-28,0.12972246696035242,0.12972246696035242
16,2010-01-29,0.11911009174311929,0.11911009174311929
17,2010-02-01,0.12194270833333336,0.12194270833333336
18,2010-02-02,0.11379919678714855,0.11379919678714855
19,2010-02-03,0.13231363636363633,0.13231363636363633
20,2010-02-04,0.09418139534883721,0.09418139534883721
21,2010-02-05,0.10814574898785428,0.10814574898785428
22,2010-02-08,0.09293846153846154,0.09293846153846154
23,2010-02-09,0.1354197530864197,0.1354197530864197
24,2010-02-10,0.09914772727272729,0.09914772727272729
25,2010-02-11,0.12647161572052398,0.12647161572052398
26,2010-02-12,0.10739423076923077,0.10739423076923077
27,2010-02-16,0.0839431279620853,0.0839431279620853
28,2010-02-17,0.1297128205128205,0.1297128205128205
29,2010-02-18,0.1075982142857143,0.1075982142857143
30,2010-02-19,0.11483333333333334,0.11483333333333334
31,2010-02-22,0.11219125683060109,0.11219125683060109
32,2010-02-23,0.11094761904761904,0.11094761904761904
33,2010-02-24,0.12583181818181818,0.12583181818181818
34,2010-02-25,0.08527570093457945,0.08527570093457945
35,2010-02-26,0.10416279069767444,0.10416279069767444
36,2010-03-01,0.15432275132275128,0.15432275132275128
37,2010-03-02,0.11020833333333337,0.11020833333333337
38,2010-03-03,0.10295566502463054,0.10295566502463054
39,2010-03-04,0.1094406779661017,0.1094406779661017
40,2010-03-05,0.13561320754716977,0.13561320754716977
41,2010-03-08,0.12041935483870966,0.12041935483870966
42,2010-03-09,0.11914285714285713,0.11914285714285713
43,2010-03-10,0.13921256038647342,0.13921256038647342
44,2010-03-11,0.16884716157205235,0.16884716157205235
45,2010-03-12,0.13181404958677684,0.13181404958677684
46,2010-03-15,0.08622680412371136,0.08622680412371136
47,2010-03-16,0.10461611374407584,0.10461611374407584
48,2010-03-17,0.1118262910798122,0.1118262910798122
49,2010-03-18,0.16653881278538818,0.16653881278538818
50,2010-03-19,0.12465999999999998,0.12465999999999998
51,2010-03-22,0.0867811158798283,0.0867811158798283
52,2010-03-23,0.1359874476987448,0.1359874476987448
53,2010-03-24,0.13372300469483567,0.13372300469483567
54,2010-03-25,0.0959367088607595,0.0959367088607595
55,2010-03-26,0.11768749999999999,0.11768749999999999
56,2010-03-29,0.14071065989847714,0.14071065989847714
57,2010-03-30,0.12151293103448277,0.12151293103448277
58,2010-03-31,0.11090094339622643,0.11090094339622643
59,2010-04-01,0.10831851851851848,0.10831851851851848
60,2010-04-05,0.1164360465116279,0.1164360465116279
61,2010-04-06,0.10750454545454549,0.10750454545454549
62,2010-04-07,0.09187111111111114,0.09187111111111114
63,2010-04-08,0.09440487804878048,0.09440487804878048
64,2010-04-09,0.12189795918367351,0.12189795918367351
65,2010-04-12,0.1406531791907515,0.1406531791907515
66,2010-04-13,0.12028761061946898,0.12028761061946898
67,2010-04-14,0.14910294117647058,0.14910294117647058
68,2010-04-15,0.08694117647058822,0.08694117647058822
69,2010-04-16,0.1301336032388664,0.1301336032388664
70,2010-04-19,0.09768376068376067,0.09768376068376067
71,2010-04-20,0.10521259842519687,0.10521259842519687
72,2010-04-21,0.14378602620087333,0.14378602620087333
73,2010-04-22,0.12182352941176469,0.12182352941176469
74,2010-04-23,0.13615609756097558,0.13615609756097558
75,2010-04-26,0.12559798994974872,0.12559798994974872
76,2010-04-27,0.13818468468468464,0.13818468468468464
77,2010-04-28,0.13087550200803214,0.13087550200803214
78,2010-04-29,0.12299047619047619,0.12299047619047619
79,2010-04-30,0.1322182890855457,0.1322182890855457
80,2010-05-03,0.13923958333333336,0.13923958333333336
81,2010-05-04,0.11088596491228069,0.11088596491228069
82,2010-05-05,0.15345414847161573,0.15345414847161573
83,2010-05-06,0.12885067873303163,0.12885067873303163
84,2010-05-07,0.1191964285714286,0.1191964285714286
85,2010-05-10,0.10525966850828729,0.10525966850828729
86,2010-05-11,0.11750666666666662,0.11750666666666662
87,2010-05-12,0.11724761904761899,0.11724761904761899
88,2010-05-13,0.09655555555555555,0.09655555555555555
89,2010-05-14,0.1294747474747474,0.1294747474747474
90,2010-05-17,0.11095477386934674,0.11095477386934674
91,2010-05-18,0.1286781115879828,0.1286781115879828
92,2010-05-19,0.12435371179039303,0.12435371179039303
93,2010-05-20,0.10066824644549763,0.10066824644549763
94,2010-05-21,0.12919534883720935,0.12919534883720935
95,2010-05-24,0.13598557692307692,0.13598557692307692
96,2010-05-25,0.11713170731707316,0.11713170731707316
97,2010-05-26,0.1380248756218905,0.1380248756218905
98,2010-05-27,0.16693925233644857,0.16693925233644857
99,2010-05-28,0.13331944444444446,0.13331944444444446
100,2010-06-01,0.11047029702970297,0.11047029702970297
101,2010-06-02,0.08556828193832601,0.08556828193832601
102,2010-06-03,0.1316217391304348,0.1316217391304348
